  a      b      c
 23     30     23
 30     36     30
 36     43     37
 43     49     43
 50     56     50
 56     63     56
 63     69     63
 69     76     69
 76     82     76
 83     89     82
 89     96     89
 96    102     96
102    109    102
109    115    109
116    122    115
122    128    122
129    135    128
135    141    135
142    148    141
149    155    148
155    161    155
162    168    161
169    174    168
175    181    174
182    188    181
188    194    187
195    201    194
202    207    201
208    214    207
215    220    214
224    229    222
230    236    229
237    242    235
243    249    242
250    255    248
257    262    255
263    268    262
270    275    268
276    282    275
283    288    281
290    295    288
296    301    295
303    308    301
310    315    308
316    321    314
323    328    321
330    334    328
336    341    334
343    348    341
349    354    347
356    361    354
363    367    360
369    374    367
376    381    374
383    387    380
389    394    387
396    400    393
403    407    400
409    414    407
416    420    413
425    429    422
431    436    428
438    442    435
444    449    442
451    455    448
458    462    455
464    469    461
471    475    468
478    482    475
484    488    481
491    495    488
498    502    494
504    508    501
511    515    508
518    521    514
524    528    521
531    535    527
538    541    534
544    548    541
551    554    547
557    561    554
564    568    560
571    574    567
577    581    574
584    587    580
591    594    587
597    601    593
604    607    600
611    614    607
617    620    613
626    629    621
632    635    628
639    642    635
646    649    641
652    655    648
659    662    655
666    669    661
672    675    668
679    682    674
686    688    681
692    695    688
699    702    694
706    708    701
712    715    707
719    722    714
726    728    721
732    735    727
739    741    734
745    748    740
752    754    747
759    761    754
765    768    760
772    774    767
779    781    773
785    788    780
792    794    787
799    801    793
805    807    800
812    814    806
819    821    813
826    828    821
834    836    828
840    842    834
847    849    841
853    855    848
860    862    854
867    869    861
874    875    868
880    882    874
887    888    881
893    895    887
900    902    894
907    908    901
913    915    907
920    922    914
927    928    920
933    935    927
940    941    934
947    948    940
953    955    947
960    961    954
967    968    960
973    974    967
980    981    973
987    988    980
993    994    987
1000    1001    993
1007    1008    1000
1013    1014    1006
1020    1021    1013
1029    1030    1022
1036    1037    1029
1042    1043    1035
1049    1050    1042
1056    1056    1048
1062    1063    1055
1069    1070    1062
1076    1076    1068
1082    1083    1075
1089    1089    1081
1096    1096    1088
1102    1103    1095
1109    1109    1101
1116    1116    1108
1122    1123    1115
1129    1129    1121
1136    1136    1128
1142    1142    1134
1149    1149    1141
1155    1156    1148
1162    1162    1154
1169    1169    1161
1175    1176    1167
1182    1182    1174
1189    1189    1181
1195    1195    1187
1202    1202    1194
1209    1209    1201
1215    1215    1207
1222    1222    1214
1231    1231    1223
1238    1237    1229
1244    1244    1236
1251    1251    1242
1258    1257    1249
1264    1264    1256
1271    1271    1262
1278    1277    1269
1284    1284    1275
1291    1290    1282
1298    1297    1289
1304    1304    1295
1311    1310    1302
1317    1317    1308
1324    1323    1315
1331    1330    1322
1337    1337    1328
1344    1343    1335
1351    1350    1342
1357    1357    1348
1364    1363    1355
1371    1370    1361
1377    1376    1368
1384    1383    1375
1391    1390    1381
1397    1396    1388
1404    1403    1394
1411    1410    1401
1417    1416    1408
1425    1423    1414
1432    1431    1423
1439    1438    1429
1446    1444    1436
1452    1451    1442
1459    1458    1449
1466    1464    1456
1472    1471    1462
1479    1477    1469
1486    1484    1475
1492    1491    1482
1499    1497    1489
1506    1504    1495
1512    1511    1502
1519    1517    1509
1526    1524    1515
1532    1530    1522
1539    1537    1528
1545    1544    1535
1552    1550    1541
1559    1557    1548
1565    1563    1555
1572    1570    1561
1579    1577    1568
1585    1583    1575
1592    1590    1581
1599    1596    1588
1605    1603    1594
1612    1610    1601
1619    1616    1607
1625    1623    1614
1633    1631    1622
1640    1638    1629
1647    1644    1635
1653    1651    1642
1660    1657    1648
1666    1664    1655
1673    1670    1662
1680    1677    1668
1686    1684    1675
1693    1690    1681
1700    1697    1688
1706    1703    1694
1713    1710    1701
1719    1717    1708
1726    1723    1714
1733    1730    1721
1739    1736    1727
1746    1743    1734
1753    1750    1741
1759    1756    1747
1766    1763    1754
1772    1769    1760
1779    1776    1767
1786    1783    1773
1792    1789    1780
1799    1796    1787
1806    1802    1793
1812    1809    1800
1819    1816    1806
1827    1823    1814
1835    1831    1822
1841    1838    1829
1848    1844    1835
1855    1851    1842
1861    1858    1849
1868    1864    1855
1874    1871    1862
1881    1877    1868
1888    1884    1875
1894    1890    1881
1901    1897    1888
1908    1904    1894
1914    1910    1901
1921    1917    1908
1927    1923    1914
1934    1930    1921
1941    1937    1927
1947    1943    1934
1954    1950    1940
1960    1956    1947
1967    1963    1953
1974    1969    1960
1980    1976    1967
1987    1983    1973
1993    1989    1980
2000    1996    1986
2007    2002    1993
2013    2009    1999
2020    2015    2006
2027    2022    2013

